"","marker","estimate","conf.low","conf.high","p.value","cases","atRisk","group","markerFormat","marker_cut","Attack rate","id","overall.pval"
"13","Day29pseudoneutid50cat(1.45, Inf]",0.442175831622369,0.20849816858634,0.937751479529031,0.0333766055658847,16.271186440678,3718.28360659963,"All baseline negative, vaccine","categorical","Upper",0.00437599391606332,3,""
"14","Lower",1,NA,NA,NA,20.3389830508475,3753.50569345177,"All baseline negative, vaccine","categorical","Lower",0.00541866316769683,1,"0.023"
"15","Day29pseudoneutid80cat(1.26,1.61]",1.14782077035717,0.60711002286553,2.17010504067257,0.67138176909969,26.4406779661017,3718.71955079862,"All baseline negative, vaccine","categorical","Middle",0.00711015649470618,2,""
"16","Day29pseudoneutid80cat(1.61, Inf]",0.439795971799739,0.206959714514167,0.934580419504957,0.0326888397785708,13.2203389830508,3684.7747557496,"All baseline negative, vaccine","categorical","Upper",0.00358782825528813,3,""
"17","Day29bindSpike",0.27844662745897,0.134469690712679,0.576579926170411,0.00057601970314827,32,2367,"Age >= 65","continuous",NA,NA,NA,NA
"18","Day29bindRBD",0.364552220782359,0.189389733387079,0.701718722026654,0.00252665845093792,32,2367,"Age >= 65","continuous",NA,NA,NA,NA
"19","Day29pseudoneutid50",0.258133711365999,0.0907798028200183,0.734007024400492,0.0110873275068547,32,2367,"Age >= 65","continuous",NA,NA,NA,NA
"20","Day29pseudoneutid80",0.238029910345507,0.0997595191229163,0.567948188977135,0.00121649445479472,32,2367,"Age >= 65","continuous",NA,NA,NA,NA
"21","Day29bindSpike",0.336445247193437,0.077983852074614,1.45152363403066,0.144176454008535,9,2969,"Age < 65, At risk","continuous",NA,NA,NA,NA
"22","Day29bindRBD",0.51278099864595,0.115591182055742,2.27477864570618,0.379565853794319,9,2969,"Age < 65, At risk","continuous",NA,NA,NA,NA
"23","Day29pseudoneutid50",0.584113996090498,0.0524843223180705,6.5007824310106,0.661868985175569,9,2969,"Age < 65, At risk","continuous",NA,NA,NA,NA
"24","Day29pseudoneutid80",0.266041309762893,0.044419498203512,1.59339887578378,0.147099875060128,9,2969,"Age < 65, At risk","continuous",NA,NA,NA,NA
"25","Day29bindSpike",0.320049754756078,0.104643541731103,0.978864474815269,0.045779946159366,19,5821,"Age < 65, Not at risk","continuous",NA,NA,NA,NA
"26","Day29bindRBD",0.859367043326447,0.311560028344783,2.37036733845196,0.769694307972039,19,5821,"Age < 65, Not at risk","continuous",NA,NA,NA,NA
"27","Day29pseudoneutid50",0.678239157952929,0.226484769949418,2.03107853779058,0.487812707395208,19,5821,"Age < 65, Not at risk","continuous",NA,NA,NA,NA
"28","Day29pseudoneutid80",0.669945924556159,0.202156676100704,2.2201964856497,0.512312498357082,19,5821,"Age < 65, Not at risk","continuous",NA,NA,NA,NA
"29","Day29bindSpike",0.319845153144515,0.133550100203195,0.766011570447261,0.0105226471740059,28,8790,"Age < 65","continuous",NA,NA,NA,NA
"30","Day29bindRBD",0.738345744312156,0.31913764179027,1.70821102482839,0.47844315628377,28,8790,"Age < 65","continuous",NA,NA,NA,NA
"31","Day29pseudoneutid50",0.643465239164657,0.236062604874937,1.75397333361032,0.388833174951019,28,8790,"Age < 65","continuous",NA,NA,NA,NA
"32","Day29pseudoneutid80",0.502441710601721,0.182669500223431,1.38199136825581,0.182446006462918,28,8790,"Age < 65","continuous",NA,NA,NA,NA
"33","Day29bindSpike",0.270145531933126,0.0950110978344311,0.768106148511261,0.0140961217954457,15,3754,"At risk","continuous",NA,NA,NA,NA
"34","Day29bindRBD",0.530442066152081,0.211895690699135,1.32786459514741,0.175648935350319,15,3754,"At risk","continuous",NA,NA,NA,NA
"35","Day29pseudoneutid50",0.405836607775853,0.0783878758614225,2.10113299283911,0.282401370146279,15,3754,"At risk","continuous",NA,NA,NA,NA
"36","Day29pseudoneutid80",0.202362050617111,0.0541247145757341,0.756593357599369,0.0175722004434057,15,3754,"At risk","continuous",NA,NA,NA,NA
"37","Day29bindSpike",0.297507390704517,0.154132773954923,0.574249364704845,0.000302500398068696,45,7403,"Not at risk","continuous",NA,NA,NA,NA
"38","Day29bindRBD",0.479366049728943,0.256407263085281,0.896198519759961,0.0212642605399334,45,7403,"Not at risk","continuous",NA,NA,NA,NA
"39","Day29pseudoneutid50",0.411807281112608,0.191767504097702,0.884327287750267,0.0228932626751763,45,7403,"Not at risk","continuous",NA,NA,NA,NA
"40","Day29pseudoneutid80",0.384413556829488,0.180681753673001,0.817867768439642,0.0130680235195198,45,7403,"Not at risk","continuous",NA,NA,NA,NA
"41","Day29bindSpike",0.236606187110056,0.0778326382598979,0.719267508211948,0.0110583066595291,18,4212,"Comm. of color","continuous",NA,NA,NA,NA
"42","Day29bindRBD",0.576991130874527,0.218497774626036,1.52367119380352,0.26701094466403,18,4212,"Comm. of color","continuous",NA,NA,NA,NA
"43","Day29pseudoneutid50",0.450223264379501,0.148583460749235,1.36422308893877,0.158286086022402,18,4212,"Comm. of color","continuous",NA,NA,NA,NA
"44","Day29pseudoneutid80",0.540024125467205,0.207345184587347,1.4064761458869,0.207102099543584,18,4212,"Comm. of color","continuous",NA,NA,NA,NA
"45","Day29bindSpike",0.314797056858294,0.161148411518878,0.614943616710955,0.000716539884261067,42,6945,"WhiteNonHispanic","continuous",NA,NA,NA,NA
"46","Day29bindRBD",0.46595635352904,0.24751679742475,0.877174097487615,0.0179822890614034,42,6945,"WhiteNonHispanic","continuous",NA,NA,NA,NA
"47","Day29pseudoneutid50",0.419022687352937,0.175109428280113,1.00268737235331,0.0507088660947618,42,6945,"WhiteNonHispanic","continuous",NA,NA,NA,NA
"48","Day29pseudoneutid80",0.274431399218804,0.114725357424184,0.656459867008568,0.00366294083125384,42,6945,"WhiteNonHispanic","continuous",NA,NA,NA,NA
"49","Day29bindSpike",0.247121209530168,0.115304139691039,0.529633128205884,0.00032553994677347,35,6282,"Men","continuous",NA,NA,NA,NA
"50","Day29bindRBD",0.302016306488647,0.159580604949973,0.571584807650271,0.000234635480878209,35,6282,"Men","continuous",NA,NA,NA,NA
"51","Day29pseudoneutid50",0.325691564742205,0.140405373879211,0.755490993068978,0.00897283316873563,35,6282,"Men","continuous",NA,NA,NA,NA
"52","Day29pseudoneutid80",0.181380413934927,0.0679066865356619,0.484471504023807,0.000659950028026404,35,6282,"Men","continuous",NA,NA,NA,NA
"53","Day29bindSpike",0.369697154019504,0.15446081451999,0.884858636249341,0.0254383210160776,25,4875,"Women","continuous",NA,NA,NA,NA
"54","Day29bindRBD",1.00743420414871,0.410722451314109,2.4710693862522,0.9870912663107,25,4875,"Women","continuous",NA,NA,NA,NA
"55","Day29pseudoneutid50",0.666387084013221,0.217217470087532,2.04436478134423,0.477909265133412,25,4875,"Women","continuous",NA,NA,NA,NA
"56","Day29pseudoneutid80",0.791370526951766,0.372651034163246,1.68057311939075,0.542561790651324,25,4875,"Women","continuous",NA,NA,NA,NA
